"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Adam Thielen","MIN","8.6","106.2","0.7","0.1","0.8","0.0","0.1","23.5"
"Davante Adams","GB","7.4","100.1","0.7","0.0","0.0","0.0","0.0","21.4"
"Michael Thomas","NO","7.6","94.3","0.7","0.0","0.0","0.0","0.1","21.0"
"DeAndre Hopkins","HOU","6.7","96.4","0.7","0.1","0.5","0.0","0.1","20.7"
"Antonio Brown","PIT","7.0","87.9","0.7","0.0","0.0","0.0","0.0","19.6"
"Julio Jones","ATL","6.8","97.8","0.5","0.1","0.8","0.0","0.1","19.5"
"Tyreek Hill","KC","5.5","83.5","0.7","1.0","6.3","0.0","0.0","18.9"
"Mike Evans","TB","6.2","86.3","0.6","0.0","0.0","0.0","0.1","18.3"
"Emmanuel Sanders","DEN","6.3","78.3","0.6","0.3","2.1","0.0","0.0","18.0"
"Brandin Cooks","LAR","5.5","84.3","0.6","0.4","2.2","0.0","0.1","17.4"
"Robert Woods","LAR","5.6","77.7","0.6","0.7","4.2","0.0","0.0","17.4"
"Keenan Allen","LAC","6.5","77.1","0.5","0.2","1.5","0.0","0.1","17.3"
"Jarvis Landry","CLE","6.4","78.2","0.5","0.0","0.1","0.0","0.1","17.1"
"Cooper Kupp","LAR","5.0","67.9","0.6","0.5","3.0","0.0","0.0","15.9"
"Kenny Golladay","DET","5.3","74.2","0.5","0.0","0.1","0.0","0.1","15.6"
"Julian Edelman","NE","5.6","65.0","0.5","0.4","2.3","0.0","0.1","15.3"
"JuJu Smith-Schuster","PIT","5.8","74.5","0.3","0.0","0.0","0.0","0.0","15.1"
"Marvin Jones","DET","4.4","67.0","0.6","0.0","0.0","0.0","0.0","14.7"
"Stefon Diggs","MIN","4.9","59.5","0.6","0.6","2.8","0.0","0.1","14.4"
"John Brown","BAL","4.2","65.6","0.5","0.2","0.9","0.0","0.0","14.0"
"Josh Gordon","NE","4.2","63.2","0.6","0.0","0.0","0.0","0.0","14.0"
"Devin Funchess","CAR","4.2","58.3","0.7","0.0","0.0","0.0","0.0","13.9"
"Michael Crabtree","BAL","4.7","57.2","0.5","0.0","0.0","0.0","0.0","13.4"
"Doug Baldwin","SEA","4.7","55.3","0.5","0.0","0.0","0.0","0.0","13.2"
"Sammy Watkins","KC","4.2","54.9","0.5","0.5","2.9","0.0","0.0","13.1"
"Corey Davis","TEN","4.5","56.5","0.4","0.0","0.0","0.0","0.0","12.6"
"Tyler Lockett","SEA","3.5","54.2","0.5","0.5","3.4","0.0","0.0","12.5"
"Taylor Gabriel","CHI","4.2","48.4","0.4","0.6","3.6","0.0","0.0","11.8"
"Marquez Valdes-Scantling","GB","3.6","54.0","0.4","0.0","0.1","0.0","0.0","11.6"
"DeSean Jackson","TB","3.6","62.5","0.2","0.4","2.4","0.0","0.0","11.5"
"Courtland Sutton","DEN","4.0","59.1","0.3","0.0","0.1","0.0","0.0","11.5"
"Tre'Quan Smith","NO","3.7","49.5","0.5","0.0","0.0","0.0","0.0","11.4"
"Devante Parker","MIA","3.8","50.3","0.4","0.0","0.0","0.0","0.0","11.2"
"D.J. Moore","CAR","3.9","53.7","0.2","0.8","5.9","0.0","0.1","11.0"
"Randall Cobb","GB","4.6","51.2","0.2","0.2","0.7","0.0","0.0","10.9"
"Amari Cooper","DAL","4.1","51.3","0.3","0.1","0.7","0.0","0.0","10.7"
"Demaryius Thomas","HOU","4.1","50.1","0.3","0.0","0.0","0.0","0.1","10.6"
"Jordy Nelson","OAK","3.8","48.2","0.3","0.0","0.0","0.0","0.0","10.3"
"Calvin Ridley","ATL","3.4","46.2","0.3","0.3","1.7","0.0","0.0","10.1"
"Tyrell Williams","LAC","2.8","47.0","0.4","0.1","0.7","0.0","0.0","10.1"
"Chris Godwin","TB","3.8","47.8","0.3","0.0","0.0","0.0","0.1","9.9"
"Marquise Goodwin","SF","3.1","48.9","0.3","0.4","2.3","0.0","0.0","9.7"
"Mohamed Sanu","ATL","3.8","45.4","0.2","0.1","0.2","0.0","0.0","9.7"
"Danny Amendola","MIA","4.2","43.0","0.2","0.0","0.1","0.0","0.1","9.5"
"Cole Beasley","DAL","3.9","41.9","0.2","0.0","0.0","0.0","0.0","9.3"
"Seth Roberts","OAK","3.6","41.4","0.2","0.0","0.0","0.0","0.0","8.9"
"Willie Snead","BAL","3.7","40.9","0.2","0.1","0.5","0.0","0.0","8.8"
"Jermaine Kearse","NYJ","3.4","42.1","0.2","0.0","0.0","0.0","0.0","8.8"
"Paul Richardson","WAS","2.9","41.1","0.3","0.2","1.1","0.0","0.0","8.7"
"Anthony Miller","CHI","3.0","36.8","0.2","0.1","0.3","0.0","0.0","8.1"
"Josh Doctson","WAS","3.0","40.0","0.2","0.0","0.0","0.0","0.0","8.1"
"David Moore","SEA","2.4","37.4","0.3","0.1","0.3","0.0","0.0","8.0"
"Quincy Enunwa","NYJ","2.9","39.2","0.2","0.0","0.1","0.0","0.0","7.9"
"Mike Williams","LAC","2.6","38.6","0.2","0.1","0.4","0.0","0.0","7.9"
"Adam Humphries","TB","3.3","35.8","0.1","0.1","0.5","0.0","0.0","7.7"
"Kenny Stills","MIA","2.3","35.5","0.3","0.0","0.0","0.0","0.0","7.5"
"Laquon Treadwell","MIN","3.0","33.6","0.2","0.0","0.0","0.0","0.0","7.5"
"Chris Hogan","NE","2.5","35.3","0.2","0.0","0.1","0.0","0.0","7.4"
"Tajae Sharpe","TEN","2.7","37.0","0.2","0.1","0.9","0.0","0.1","7.3"
"Kelvin Benjamin","BUF","2.7","37.4","0.1","0.0","0.0","0.0","0.0","7.1"
"Michael Gallup","DAL","2.1","30.6","0.3","0.0","0.0","0.0","0.0","7.1"
"Robby Anderson","NYJ","2.3","34.4","0.3","0.1","0.1","0.0","0.1","7.0"
"Zay Jones","BUF","3.0","34.5","0.1","0.0","0.0","0.0","0.0","6.9"
"Pierre Garcon","SF","2.8","34.3","0.1","0.0","0.0","0.0","0.0","6.8"
"Taywan Taylor","TEN","2.8","34.5","0.1","0.1","0.5","0.0","0.1","6.8"
"Jakeem Grant","MIA","2.6","31.9","0.2","0.2","1.0","0.0","0.0","6.8"
"Allen Robinson","CHI","2.6","32.8","0.1","0.0","0.0","0.0","0.0","6.8"
"TJ Jones","DET","2.6","33.4","0.1","0.0","0.0","0.0","0.0","6.7"
"Maurice Harris","WAS","2.7","28.6","0.2","0.2","1.1","0.0","0.0","6.5"
"Brandon LaFell","OAK","2.4","30.7","0.2","0.0","0.0","0.0","0.0","6.4"
"Curtis Samuel","CAR","1.9","27.4","0.2","0.5","3.5","0.0","0.0","6.1"
"Rashard Higgins","CLE","2.1","30.1","0.1","0.0","0.0","0.0","0.0","5.9"
"Chris Conley","KC","2.2","24.9","0.1","0.0","0.0","0.0","0.1","5.3"
