"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.1","77.7","0.7","0.0","18.1"
"Zach Ertz","PHI","6.1","67.2","0.6","0.0","16.1"
"George Kittle","SF","4.9","63.7","0.5","0.0","14.2"
"Greg Olsen","CAR","4.3","52.3","0.5","0.0","12.7"
"Jared Cook","OAK","4.5","54.6","0.4","0.0","12.5"
"O.J. Howard","TB","3.8","48.0","0.6","0.0","11.8"
"David Njoku","CLE","4.3","47.4","0.5","0.0","11.7"
"Jimmy Graham","GB","4.2","50.9","0.4","0.0","11.5"
"Jack Doyle","IND","4.3","45.6","0.4","0.1","11.4"
"Trey Burton","CHI","3.5","42.1","0.5","0.0","10.9"
"Jordan Reed","WAS","4.3","45.4","0.2","0.1","10.0"
"Benjamin Watson","NO","3.5","38.4","0.4","0.0","10.0"
"Eric Ebron","IND","3.3","36.6","0.5","0.0","9.8"
"C.J. Uzomah","CIN","3.3","36.5","0.5","0.0","9.8"
"Rob Gronkowski","NE","3.3","45.3","0.2","0.0","9.2"
"Vance McDonald","PIT","3.8","43.3","0.2","0.1","9.1"
"Evan Engram","NYG","3.7","38.8","0.2","0.0","9.0"
"Austin Hooper","ATL","3.7","38.9","0.2","0.0","8.9"
"Ricky Seals-Jones","ARI","2.9","35.2","0.2","0.0","7.3"
"Vernon Davis","WAS","2.5","34.3","0.2","0.0","6.9"
"Chris Herndon IV","NYJ","2.4","26.9","0.2","0.0","6.6"
"Nick Vannett","SEA","2.5","27.0","0.2","0.1","6.2"
"Geoff Swaim","DAL","2.3","22.7","0.1","0.0","5.2"
"Jesse James","PIT","2.0","21.9","0.2","0.0","5.2"
"Antonio Gates","LAC","1.9","20.6","0.2","0.0","5.1"
"James O'Shaughnessy","JAC","2.0","23.1","0.1","0.0","5.0"
"Ed Dickson","SEA","1.8","23.7","0.1","0.0","5.0"
"Michael Roberts","DET","1.7","20.1","0.2","0.0","5.0"
"David Grinnage","JAC","1.9","20.3","0.1","0.0","4.6"
"Jason Croom","BUF","1.8","19.8","0.2","0.1","4.6"
"Cameron Brate","TB","1.7","18.2","0.2","0.1","4.4"
"Dallas Goedert","PHI","1.7","18.4","0.1","0.0","4.3"
"Logan Thomas","BUF","2.0","20.4","0.0","0.0","4.3"
"Tyler Kroft","CIN","1.4","16.0","0.2","0.0","4.2"
"Jonnu Smith","TEN","1.6","18.0","0.1","0.0","4.1"
"Mike Gesicki","MIA","1.5","16.3","0.1","0.0","3.7"
"Nick O'Leary","MIA","1.3","15.9","0.1","0.1","3.5"
"Virgil Green","LAC","1.3","15.0","0.1","0.0","3.5"
"Gerald Everett","LAR","1.3","15.3","0.1","0.0","3.4"
"Luke Willson","DET","1.4","13.8","0.1","0.0","3.3"
"Luke Stocker","TEN","1.3","14.3","0.1","0.0","3.3"
"Josh Hill","NO","1.3","13.5","0.1","0.0","3.2"
"Rhett Ellison","NYG","1.2","11.6","0.1","0.0","2.9"
"Demetrius Harris","KC","1.0","11.9","0.1","0.0","2.9"
"Jermaine Gresham","ARI","1.3","12.8","0.1","0.1","2.8"
"Charles Clay","BUF","1.3","11.5","0.0","0.0","2.6"
"Tyler Higbee","LAR","1.0","10.4","0.1","0.0","2.5"
"Darren Fells","CLE","0.9","9.3","0.1","0.0","2.5"
"Adam Shaheen","CHI","0.6","6.7","0.2","0.0","2.3"
"Jordan Franks","CIN","0.5","6.3","0.2","0.0","2.2"
