Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Jake Kumerow (11586636),Jake Kumerow,11586636,WR/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,GB,0
RB,Tra Carson (11586745),Tra Carson,11586745,RB/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,GB,0
WR,Leonte Carroo (11586843),Leonte Carroo,11586843,WR/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,MIA,0
WR,J'Mon Moore (11586933),J'Mon Moore,11586933,WR/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,GB,0.5
WR,Dontrelle Inman (11586420),Dontrelle Inman,11586420,WR/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,IND,5.6
RB,Tommy Bohanon (11586512),Tommy Bohanon,11586512,RB/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,JAX,0.38
RB,Corey Grant (11586621),Corey Grant,11586621,RB/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,JAX,3.94
WR,Matt Hazel (11586625),Matt Hazel,11586625,WR/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,IND,0
WR,Rashad Greene Sr. (11586718),Rashad Greene Sr.,11586718,WR/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,JAX,1.85
RB,David Williams (11586935),David Williams,11586935,RB/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,JAX,0.1
WR,Steve Ishmael (11587068),Steve Ishmael,11587068,WR/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,IND,0
RB,Nick Bellore (11586410),Nick Bellore,11586410,RB/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,DET,0.06
WR,TJ Jones (11586582),TJ Jones,11586582,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,DET,1.41
WR,Josh Bellamy (11586602),Josh Bellamy,11586602,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,CHI,2.44
RB,Michael Burton (11586617),Michael Burton,11586617,RB/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,CHI,0.4
RB,Ameer Abdullah (11586662),Ameer Abdullah,11586662,RB/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,DET,0.97
WR,Andy Jones (11586863),Andy Jones,11586863,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,DET,0
WR,Kevin White (11586882),Kevin White,11586882,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,CHI,1.43
RB,Taquan Mizzell (11586939),Taquan Mizzell,11586939,RB/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,CHI,1.5
WR,Brandon Powell (11587002),Brandon Powell,11587002,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,DET,0
WR,Javon Wims (11587129),Javon Wims,11587129,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,CHI,0
WR,Kendall Wright (11586304),Kendall Wright,11586304,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,0
RB,Anthony Sherman (11586431),Anthony Sherman,11586431,RB/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,KC,2.06
RB,Derrick Coleman (11586477),Derrick Coleman,11586477,RB/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,0.5
WR,J.J. Nelson (11586631),J.J. Nelson,11586631,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,0.95
RB,Damien Williams (11586805),Damien Williams,11586805,RB/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,KC,0.54
WR,Demarcus Robinson (11586873),Demarcus Robinson,11586873,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,KC,2.01
RB,T.J. Logan (11586884),T.J. Logan,11586884,RB/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,0
TE,Ricky Seals-Jones (11586931),Ricky Seals-Jones,11586931,TE/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,5.82
WR,Marcus Kemp (11586941),Marcus Kemp,11586941,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,KC,0.19
WR,Chad Williams (11586992),Chad Williams,11586992,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,3.54
RB,Darrel Williams (11587024),Darrel Williams,11587024,RB/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,KC,0
WR,Trent Sherfield (11587062),Trent Sherfield,11587062,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,0
WR,Matthew Slater (11586338),Matthew Slater,11586338,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,NE,0
RB,James Develin (11586401),James Develin,11586401,RB/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,NE,1.24
WR,Michael Campanaro (11586521),Michael Campanaro,11586521,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,TEN,0
RB,Jalston Fowler (11586576),Jalston Fowler,11586576,RB/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,TEN,0
RB,David Fluellen (11586642),David Fluellen,11586642,RB/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,TEN,0.03
WR,Darius Jennings (11586724),Darius Jennings,11586724,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,TEN,1.94
WR,Cody Hollister (11586847),Cody Hollister,11586847,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,NE,0
WR,Braxton Berrios (11587012),Braxton Berrios,11587012,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,NE,0
WR,Cameron Batson (11587082),Cameron Batson,11587082,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,TEN,1.7
WR,Russell Shepard (11586504),Russell Shepard,11586504,WR/FLEX,3000,NYG@SF 11/12/2018 08:15PM ET,NYG,1.68
RB,Elijhaa Penny (11586732),Elijhaa Penny,11586732,RB/FLEX,3000,NYG@SF 11/12/2018 08:15PM ET,NYG,0.03
WR,Cody Latimer (11586756),Cody Latimer,11586756,WR/FLEX,3000,NYG@SF 11/12/2018 08:15PM ET,NYG,4.2
WR,Corey Coleman (11586836),Corey Coleman,11586836,WR/FLEX,3000,NYG@SF 11/12/2018 08:15PM ET,NYG,0
WR,Victor Bolden Jr. (11586959),Victor Bolden Jr.,11586959,WR/FLEX,3000,NYG@SF 11/12/2018 08:15PM ET,SF,0.5
WR,Jawill Davis (11586994),Jawill Davis,11586994,WR/FLEX,3000,NYG@SF 11/12/2018 08:15PM ET,NYG,1.57
WR,Richie James Jr. (11587028),Richie James Jr.,11587028,WR/FLEX,3000,NYG@SF 11/12/2018 08:15PM ET,SF,1.62
WR,Quadree Henderson (11587104),Quadree Henderson,11587104,WR/FLEX,3000,NYG@SF 11/12/2018 08:15PM ET,NYG,0
DST,Redskins  (11586310),Redskins ,11586310,DST,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,7.88
WR,Brian Quick (11586412),Brian Quick,11586412,WR/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,0.96
RB,Rob Kelley (11586704),Rob Kelley,11586704,RB/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,0.4
