Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Jonnu Smith (11586925),Jonnu Smith,11586925,TE/FLEX,2500,NE@TEN 11/11/2018 01:00PM ET,TEN,2.59
TE,Anthony Firkser (11586990),Anthony Firkser,11586990,TE/FLEX,2500,NE@TEN 11/11/2018 01:00PM ET,TEN,1.12
DST,Giants  (11586300),Giants ,11586300,DST,2500,NYG@SF 11/12/2018 08:15PM ET,NYG,3
TE,Kyle Nelson (11586383),Kyle Nelson,11586383,TE/FLEX,2500,NYG@SF 11/12/2018 08:15PM ET,SF,0
TE,Rhett Ellison (11586418),Rhett Ellison,11586418,TE/FLEX,2500,NYG@SF 11/12/2018 08:15PM ET,NYG,4.67
TE,Garrett Celek (11586440),Garrett Celek,11586440,TE/FLEX,2500,NYG@SF 11/12/2018 08:15PM ET,SF,1.32
TE,Scott Simonson (11586653),Scott Simonson,11586653,TE/FLEX,2500,NYG@SF 11/12/2018 08:15PM ET,NYG,0.64
TE,Ross Dwelley (11586982),Ross Dwelley,11586982,TE/FLEX,2500,NYG@SF 11/12/2018 08:15PM ET,SF,0.45
TE,Alan Cross (11586765),Alan Cross,11586765,TE/FLEX,2500,WAS@TB 11/11/2018 01:00PM ET,TB,0.2
TE,Jeremy Sprinkle (11586819),Jeremy Sprinkle,11586819,TE/FLEX,2500,WAS@TB 11/11/2018 01:00PM ET,WAS,0
TE,Antony Auclair (11587135),Antony Auclair,11587135,TE/FLEX,2500,WAS@TB 11/11/2018 01:00PM ET,TB,0.98
