"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Julio Jones","ATL","7.3","106.3","0.6","0.1","0.6","0.0","0.1","21.4"
"Michael Thomas","NO","7.7","96.7","0.7","0.0","0.0","0.0","0.1","21.4"
"Antonio Brown","PIT","7.2","89.0","0.9","0.0","0.0","0.0","0.0","21.1"
"Odell Beckham Jr.","NYG","7.3","99.4","0.6","0.5","2.1","0.0","0.1","21.0"
"Davante Adams","GB","6.7","90.0","0.8","0.0","0.0","0.0","0.1","20.5"
"Keenan Allen","LAC","6.3","87.5","0.7","0.6","4.2","0.0","0.1","19.2"
"Tyreek Hill","KC","5.4","85.0","0.7","1.2","6.8","0.1","0.0","19.2"
"Mike Evans","TB","5.7","81.0","0.6","0.0","0.0","0.0","0.1","17.3"
"Tyler Boyd","CIN","5.8","74.4","0.6","0.2","1.0","0.0","0.0","16.8"
"Robert Woods","LAR","5.3","74.0","0.6","0.7","4.6","0.0","0.1","16.5"
"JuJu Smith-Schuster","PIT","6.1","78.3","0.4","0.0","0.0","0.0","0.1","16.2"
"Julian Edelman","NE","5.8","67.4","0.5","0.6","4.3","0.0","0.1","15.6"
"Jarvis Landry","CLE","6.5","73.2","0.3","0.0","0.1","0.0","0.1","15.6"
"Cooper Kupp","LAR","4.9","63.7","0.6","0.5","2.9","0.0","0.0","15.1"
"Alshon Jeffery","PHI","4.7","60.9","0.6","0.0","0.0","0.0","0.0","14.4"
"Marvin Jones","DET","4.5","65.7","0.5","0.0","0.0","0.0","0.0","14.4"
"Josh Gordon","NE","4.4","65.8","0.6","0.0","0.0","0.0","0.0","14.2"
"Brandin Cooks","LAR","4.6","69.8","0.4","0.4","2.5","0.0","0.0","14.2"
"Larry Fitzgerald","ARI","5.5","61.8","0.4","0.0","0.0","0.0","0.0","14.1"
"Kenny Golladay","DET","4.4","65.2","0.4","0.1","0.7","0.0","0.0","13.7"
"Amari Cooper","DAL","4.8","60.7","0.4","0.1","0.7","0.0","0.0","13.5"
"Marquez Valdes-Scantling","GB","4.1","62.5","0.5","0.0","0.0","0.0","0.0","13.5"
"Calvin Ridley","ATL","4.3","55.7","0.5","0.4","2.3","0.0","0.0","13.2"
"Corey Davis","TEN","4.5","58.9","0.4","0.0","0.1","0.0","0.1","12.9"
"T.Y. Hilton","IND","4.1","59.2","0.4","0.0","0.0","0.0","0.0","12.3"
"Christian Kirk","ARI","4.1","55.0","0.4","0.2","1.4","0.0","0.0","12.1"
"Devin Funchess","CAR","4.4","57.7","0.3","0.0","0.0","0.0","0.0","12.0"
"Golden Tate","PHI","4.6","52.2","0.3","0.4","2.4","0.0","0.0","11.7"
"Allen Robinson","CHI","3.6","49.5","0.5","0.0","0.0","0.0","0.0","11.6"
"Doug Baldwin","SEA","4.3","57.0","0.3","0.0","0.0","0.0","0.0","11.5"
"Sterling Shepard","NYG","4.4","55.5","0.2","0.0","0.2","0.0","0.0","11.3"
"Devante Parker","MIA","3.6","48.8","0.4","0.0","0.0","0.0","0.0","10.6"
"Randall Cobb","GB","4.2","47.8","0.2","0.2","0.6","0.0","0.0","10.4"
"Mike Williams","LAC","2.7","41.9","0.5","0.1","0.6","0.0","0.0","10.1"
"Donte Moncrief","JAC","3.8","47.8","0.3","0.0","0.0","0.0","0.1","10.0"
