"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Todd Gurley","LAR","20.2","92.1","1.0","4.5","41.1","0.2","0.2","24.8"
"Melvin Gordon","LAC","17.4","82.7","0.8","4.5","41.7","0.3","0.1","23.5"
"Saquon Barkley","NYG","16.8","70.7","0.6","6.6","53.7","0.2","0.1","23.5"
"Alvin Kamara","NO","12.7","61.8","0.8","6.0","53.1","0.3","0.1","23.5"
"James Conner","PIT","20.2","87.8","0.9","4.4","35.0","0.1","0.2","22.2"
"Kareem Hunt","KC","18.6","81.4","0.9","3.4","31.9","0.3","0.1","21.4"
"Christian McCaffrey","CAR","12.8","55.7","0.5","5.8","48.1","0.2","0.1","20.2"
"Ezekiel Elliott","DAL","17.9","80.4","0.5","3.9","32.2","0.1","0.1","18.7"
"Joe Mixon","CIN","16.0","67.1","0.7","3.7","30.4","0.1","0.1","18.0"
"David Johnson","ARI","16.6","67.2","0.6","3.9","35.1","0.1","0.2","17.8"
"James White","NE","6.2","23.9","0.2","5.9","49.0","0.3","0.1","15.8"
"Tevin Coleman","ATL","12.9","56.1","0.5","2.9","27.6","0.2","0.1","15.2"
"Nick Chubb","CLE","16.9","78.2","0.8","1.4","9.5","0.0","0.1","14.8"
"Dion Lewis","TEN","11.6","48.6","0.4","4.2","31.3","0.1","0.1","14.8"
"Leonard Fournette","JAC","15.5","62.8","0.5","2.8","21.8","0.1","0.1","14.2"
"Marlon Mack","IND","15.1","67.0","0.6","2.1","17.1","0.1","0.1","14.2"
"Aaron Jones","GB","13.9","67.7","0.6","2.1","16.7","0.1","0.1","14.2"
"Adrian Peterson","WAS","16.0","66.2","0.6","1.9","18.5","0.1","0.3","13.8"
"Duke Johnson","CLE","3.6","15.2","0.1","4.9","42.2","0.3","0.1","13.2"
"Kerryon Johnson","DET","13.0","52.6","0.4","2.9","22.5","0.1","0.1","13.2"
"Tarik Cohen","CHI","6.9","32.0","0.1","4.1","40.0","0.2","0.1","13.1"
"Matt Breida","SF","12.9","58.6","0.5","2.3","16.8","0.1","0.1","13.1"
"Jalen Richard","OAK","4.1","17.0","0.1","5.1","41.0","0.3","0.1","13.0"
"LeSean McCoy","BUF","12.6","47.3","0.4","3.2","24.4","0.0","0.1","12.6"
"Mark Ingram","NO","11.5","51.8","0.5","2.1","16.5","0.1","0.1","12.4"
"Jordan Howard","CHI","14.3","61.8","0.6","1.2","10.1","0.0","0.1","12.2"
