"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes","KC","35.9","22.8","290.6","2.6","0.6","3.4","14.0","0.2","0.2","22.8"
"Aaron Rodgers","GB","40.3","25.9","303.5","2.2","0.6","3.5","18.7","0.1","0.3","21.8"
"Jameis Winston","TB","41.2","26.3","313.9","2.0","1.0","3.5","16.5","0.1","0.2","20.5"
"Andrew Luck","IND","41.5","26.5","297.2","2.3","1.2","3.1","12.7","0.1","0.2","20.1"
"Kirk Cousins","MIN","38.7","25.8","301.7","2.1","0.7","2.6","8.2","0.1","0.2","19.9"
"Jared Goff","LAR","34.6","22.8","285.1","2.3","0.8","2.3","8.2","0.1","0.3","19.7"
"Ben Roethlisberger","PIT","40.1","25.3","301.2","2.3","1.1","1.9","5.1","0.1","0.2","19.5"
"Andy Dalton","CIN","37.5","24.6","287.4","2.2","0.8","1.8","6.7","0.1","0.2","19.5"
"Mitch Trubisky","CHI","34.5","21.4","248.5","1.8","0.7","5.5","29.1","0.2","0.3","19.4"
"Drew Brees","NO","38.0","26.3","295.8","2.0","0.5","1.4","2.1","0.1","0.2","19.3"
"Deshaun Watson","HOU","34.3","21.3","271.9","1.7","1.1","5.9","30.7","0.2","0.3","19.2"
"Tom Brady","NE","38.3","25.6","278.5","2.1","0.6","1.8","5.5","0.1","0.2","19.2"
"Cam Newton","CAR","33.9","20.3","231.7","1.3","1.0","7.4","36.5","0.5","0.2","18.5"
"Russell Wilson","SEA","31.6","20.3","247.3","1.9","0.5","3.3","16.8","0.1","0.3","18.0"
"Matthew Stafford","DET","37.6","24.1","262.5","1.9","0.9","2.1","6.8","0.0","0.3","16.4"
"Alex Smith","WAS","32.8","21.2","245.5","1.3","0.4","4.3","19.6","0.1","0.2","16.4"
"Carson Wentz","PHI","37.8","23.7","257.6","1.7","0.9","3.1","13.1","0.1","0.3","16.2"
"Baker Mayfield","CLE","39.5","23.4","271.5","1.6","1.0","2.7","14.2","0.0","0.2","16.2"
"Case Keenum","DEN","38.4","23.7","283.6","1.4","1.0","1.5","6.7","0.1","0.3","15.9"
"Joe Flacco","BAL","38.0","24.3","271.3","1.6","0.9","1.9","5.4","0.0","0.2","15.9"
"Eli Manning","NYG","38.2","23.9","264.3","1.6","0.9","1.6","4.0","0.0","0.2","15.2"
