Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Todd Gurley II (11503310),Todd Gurley II,11503310,RB/FLEX,9800,GB@LAR 10/28/2018 04:25PM ET,LAR,30.94
RB,Saquon Barkley (11503568),Saquon Barkley,11503568,RB/FLEX,8800,WAS@NYG 10/28/2018 01:00PM ET,NYG,27.07
WR,Adam Thielen (11503360),Adam Thielen,11503360,WR/FLEX,8700,NO@MIN 10/28/2018 08:20PM ET,MIN,28.6
WR,Tyreek Hill (11503481),Tyreek Hill,11503481,WR/FLEX,8600,DEN@KC 10/28/2018 01:00PM ET,KC,23.29
WR,Antonio Brown (11502979),Antonio Brown,11502979,WR/FLEX,8500,CLE@PIT 10/28/2018 01:00PM ET,PIT,21.63
RB,Le'Veon Bell (11503089),Le'Veon Bell,11503089,RB/FLEX,8100,CLE@PIT 10/28/2018 01:00PM ET,PIT,0
WR,A.J. Green (11502992),A.J. Green,11502992,WR/FLEX,8000,TB@CIN 10/28/2018 01:00PM ET,CIN,19.44
WR,Davante Adams (11503246),Davante Adams,11503246,WR/FLEX,7900,GB@LAR 10/28/2018 04:25PM ET,GB,24.12
WR,Mike Evans (11503173),Mike Evans,11503173,WR/FLEX,7800,TB@CIN 10/28/2018 01:00PM ET,TB,20.85
RB,James Conner (11503386),James Conner,11503386,RB/FLEX,7500,CLE@PIT 10/28/2018 01:00PM ET,PIT,25.17
WR,Odell Beckham Jr. (11503150),Odell Beckham Jr.,11503150,WR/FLEX,7500,WAS@NYG 10/28/2018 01:00PM ET,NYG,21.14
WR,JuJu Smith-Schuster (11503510),JuJu Smith-Schuster,11503510,WR/FLEX,7400,CLE@PIT 10/28/2018 01:00PM ET,PIT,20.68
RB,Alvin Kamara (11503430),Alvin Kamara,11503430,RB/FLEX,7400,NO@MIN 10/28/2018 08:20PM ET,NO,27.92
RB,Joe Mixon (11503457),Joe Mixon,11503457,RB/FLEX,7300,TB@CIN 10/28/2018 01:00PM ET,CIN,16.52
WR,Michael Thomas (11503267),Michael Thomas,11503267,WR/FLEX,7300,NO@MIN 10/28/2018 08:20PM ET,NO,23.3
WR,Jarvis Landry (11503152),Jarvis Landry,11503152,WR/FLEX,7200,CLE@PIT 10/28/2018 01:00PM ET,CLE,15.7
RB,James White (11503121),James White,11503121,RB/FLEX,7200,NE@BUF 10/29/2018 08:15PM ET,NE,20.56
RB,Kareem Hunt (11503400),Kareem Hunt,11503400,RB/FLEX,7100,DEN@KC 10/28/2018 01:00PM ET,KC,21.69
QB,Patrick Mahomes (11503526),Patrick Mahomes,11503526,QB,7000,DEN@KC 10/28/2018 01:00PM ET,KC,30.56
RB,Christian McCaffrey (11503486),Christian McCaffrey,11503486,RB/FLEX,7000,BAL@CAR 10/28/2018 01:00PM ET,CAR,19.62
WR,Brandin Cooks (11503234),Brandin Cooks,11503234,WR/FLEX,6900,GB@LAR 10/28/2018 04:25PM ET,LAR,15.6
TE,Travis Kelce (11502983),Travis Kelce,11502983,TE/FLEX,6800,DEN@KC 10/28/2018 01:00PM ET,KC,17.33
