"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Todd Gurley","LAR","20.6","96.6","1.3","4.3","42.5","0.3","0.2","27.3"
"Saquon Barkley","NYG","16.3","70.7","0.4","6.2","49.7","0.4","0.1","23.0"
"Alvin Kamara","NO","11.1","48.8","0.6","5.8","55.1","0.2","0.1","20.7"
"James Conner","PIT","18.0","73.6","0.9","4.3","32.8","0.1","0.2","20.4"
"Kareem Hunt","KC","16.7","77.8","0.8","3.1","29.8","0.2","0.1","19.6"
"Joe Mixon","CIN","17.1","72.3","0.8","3.9","29.8","0.1","0.1","19.4"
"James White","NE","9.7","40.1","0.2","5.6","45.4","0.5","0.1","18.7"
"David Johnson","ARI","17.6","64.5","0.7","3.5","31.4","0.1","0.2","17.8"
"Christian McCaffrey","CAR","13.2","54.1","0.2","5.2","40.9","0.2","0.1","16.8"
"Phillip Lindsay","DEN","14.1","70.7","0.5","2.9","22.7","0.1","0.1","15.9"
"Tarik Cohen","CHI","6.8","29.2","0.2","5.1","45.8","0.4","0.1","15.8"
"Kerryon Johnson","DET","14.5","63.5","0.5","3.2","22.7","0.1","0.1","15.1"
"Marlon Mack","IND","13.7","63.4","0.5","2.2","20.3","0.1","0.1","14.0"
"Adrian Peterson","WAS","16.4","67.0","0.6","1.8","18.1","0.0","0.1","13.5"
"Lamar Miller","HOU","16.9","68.2","0.3","2.2","17.6","0.1","0.1","12.9"
"T.J. Yeldon","JAC","8.5","34.5","0.3","3.9","31.2","0.1","0.1","12.9"
"Nick Chubb","CLE","15.0","69.1","0.6","1.4","9.3","0.0","0.1","12.8"
"Latavius Murray","MIN","15.0","58.5","0.5","2.1","15.2","0.0","0.1","12.6"
"Alex Collins","BAL","13.2","53.3","0.5","2.1","16.8","0.1","0.3","12.3"
"Kenyan Drake","MIA","8.7","35.8","0.2","3.9","29.0","0.1","0.1","11.9"
"Isaiah Crowell","NYJ","13.3","56.8","0.5","1.9","14.4","0.0","0.1","11.8"
"Jalen Richard","OAK","5.7","22.5","0.1","4.6","35.6","0.1","0.1","11.8"
"Jordan Howard","CHI","14.2","56.4","0.5","1.5","12.0","0.0","0.2","11.6"
"Chris Thompson","WAS","4.6","20.0","0.2","4.0","34.8","0.2","0.1","11.4"
"Chris Carson","SEA","14.3","63.0","0.3","1.6","15.2","0.1","0.1","11.2"
"Mark Ingram","NO","11.1","44.0","0.3","2.4","18.1","0.1","0.2","10.6"
"LeSean McCoy","BUF","11.6","49.1","0.2","2.4","18.9","0.1","0.1","10.4"
"Doug Martin","OAK","12.4","50.2","0.5","1.3","9.3","0.0","0.2","10.0"
"Duke Johnson","CLE","5.0","21.7","0.1","3.5","33.7","0.1","0.1","9.9"
"Raheem Mostert","SF","11.0","45.0","0.4","1.7","11.4","0.0","0.1","9.9"
"Corey Clement","PHI","9.8","38.0","0.2","2.3","20.1","0.1","0.1","9.6"
"Devontae Booker","DEN","6.6","28.5","0.2","2.7","24.5","0.1","0.1","9.3"
"Wendell Smallwood","PHI","9.0","36.7","0.1","2.3","18.7","0.1","0.1","8.8"
"Nyheim Hines","IND","4.9","20.5","0.1","2.9","23.0","0.1","0.1","8.6"
"Javorius Allen","BAL","5.5","21.8","0.1","3.0","22.3","0.1","0.1","8.5"
"Chris Ivory","BUF","9.4","36.4","0.2","1.9","17.5","0.0","0.1","8.4"
"Peyton Barber","TB","10.7","43.7","0.2","1.4","12.0","0.0","0.1","8.3"
"Carlos Hyde","JAC","10.9","43.4","0.2","1.6","11.2","0.0","0.1","8.2"
"Trenton Cannon","NYJ","6.3","23.5","0.1","2.7","23.2","0.1","0.1","8.1"
"Aaron Jones","GB","8.1","39.1","0.2","1.5","12.4","0.0","0.1","7.9"
